"year","Alcopops","All offal other than liver","All other fats","Baby foods","Bacon and ham, cooked","Bacon and ham, uncooked","Beef and veal","Beers","Biscuits other than chocolate","Blue fish, dried or salted or smoked","Breakfast cereals","Brown and wholemeal bread","Buns, scones and teacakes","Burgers, frozen or not frozen","Butter","Cakes and pastries","Cakes and pastries - frozen","Canned milk puddings","Chewing gum","Chicken, uncooked - whole chicken or chicken pieces","Chocolate bars - filled","Chocolate bars - solid","Chocolate biscuits","Ciders and perry","Cocoa and chocolate drinks","Coffee beans and ground coffee","Coffee essences","Cooked poultry not purchased in cans","Corned beef, canned or sliced","Crispbread","Fortified wines","Fresh fruit","Fresh green vegetables","Fresh potatoes","Fudges, toffees, caramels","Herrings and other blue fish, fresh, chilled or frozen","Honey","Ice cream products including takeaways","Ice cream tub or block","Infant cereal foods","Instant coffee","Invalid foods, slimming foods and sports foods","Jams and fruit curds","Jelly squares or crystals","Lagers and continental beers","Lard, cooking fat","Liqueurs and cocktails","Liquid wholemilk, including school and welfare","Liver","Malt drinks and chocolate versions of malted drinks","Margarine","Marmalade","Meals on wheels - items not specified","Meat pastes and spreads","Meat pies and sausage rolls, ready to eat","Meat pies, pasties and puddings, frozen or not frozen","Mineral or spring waters","Mints and boiled sweets","Mutton and lamb","Natural cheese","Oatmeal and oat products","Other canned meat and canned meat products","Other cereal convenience foods","Other cereals","Other cooked meat","Other fresh vegetables","Other fresh, chilled and frozen meat","Other milk and cream","Other poultry, uncooked (including frozen)","Other takeaway food brought home","Other tinned or bottled fish","Pasta","Pate and delicatessen type sausage","Pickles and sauces","Pizza","Pork","Processed cheese","Processed fruit and fruit products","Processed potatoes","Processed vegetables excluding processed potatoes","Puddings","Ready meals and convenience meat products","Ready meals and other fish products - frozen or not frozen","Rice","Salmon, fresh, chilled or frozen","Salmon, tinned","Salt","Sausages, uncooked - beef and other sausages","Sausages, uncooked - pork","Shellfish","Soft drinks, concentrated, low calorie (h)","Soft drinks, concentrated, not low calorie (h)","Soft drinks, not concentrated,  not low calorie","Soft drinks, not concentrated, low calorie","Soups - canned or cartons","Soups - dehydrated or powdered","Soups - from takeaway","Soya and novel protein foods","Spirits","Spirits with mixer","Spreads and dressings","Stock cubes and meat and yeast extracts","Sugar","Syrup, treacle","Takeaway confectionery","Takeaway fish","Takeaway fish meals and fish products","Takeaway meats","Tea","Tea and coffee from takeaway","Total other bread","Vegetable and salad oils","White bread","White fish, dried, salted or smoked","White fish, fresh, chilled or frozen","Wine and champagne"
"1974","null","15","2","26","25","89","3","null","29","6","21","17","30","11","147","null","4","29","null","115","null","null","43","null","10","3","2","1","12","13","null","20","7","423","null","null","5","null","27","5","15","1","36","13","null","58","null","2496","1","9","42","27","null","10","5","27","null","null","11","2","13","48","15","6","16","3","3","15","1","null","12","null","6","2","0","11","8","34","6","14","10","22","23","7","null","6","37","48","59","1","null","null","null","null","101","4","null","0","null","null","1","6","458","8","null","20","2","null","68","null","null","18","null","5","8","null"
"1975","null","16","1","16","26","86","3","null","29","4","22","21","36","14","147","null","5","28","null","124","null","null","36","null","9","3","1","1","18","11","null","22","7","421","null","null","5","null","32","4","15","0","37","11","null","62","null","2525","1","8","45","26","null","10","6","27","null","null","11","2","13","44","26","6","16","4","2","16","2","null","12","null","6","2","2","8","8","42","8","20","9","23","23","7","null","8","25","45","54","1","null","null","null","null","88","4","null","0","null","null","1","5","394","7","null","18","2","null","66","null","null","15","null","6","11","null"
"1976","null","15","2","16","26","86","2","null","31","5","24","20","35","17","135","null","6","27","null","131","null","null","37","null","10","3","1","1","20","10","null","19","8","320","null","null","6","null","37","5","15","0","35","12","null","59","null","2496","1","8","44","23","null","9","6","27","null","null","12","2","12","45","29","8","14","4","3","15","2","null","14","null","6","2","2","11","8","42","7","23","8","24","25","9","null","5","26","45","57","1","null","null","null","null","92","4","null","0","null","null","1","6","427","8","null","18","2","null","67","null","null","14","null","6","14","null"
"1977","null","15","2","10","27","93","2","null","31","5","24","23","33","24","123","null","7","24","null","134","null","null","35","null","10","2","2","1","23","10","null","22","8","461","null","null","4","null","41","4","11","0","35","10","null","59","null","2400","1","10","46","25","null","11","6","19","null","null","11","3","13","37","30","7","12","4","2","16","2","null","12","null","8","2","2","11","7","45","7","26","7","39","25","9","null","4","29","48","59","1","null","null","null","null","81","3","null","2","null","null","1","6","423","8","null","14","1","null","62","null","null","15","null","5","11","null"
"1978","null","13","2","9","29","90","1","null","28","4","25","21","35","25","119","null","8","22","null","138","null","null","40","null","8","2","1","1","25","11","null","23","8","419","null","null","6","null","48","5","14","0","32","10","null","60","null","2349","1","8","35","21","null","6","6","21","null","null","10","4","12","37","33","9","13","4","2","18","1","null","10","null","12","2","2","12","7","57","9","22","7","42","24","8","null","5","27","54","55","1","null","null","null","null","80","4","null","1","null","null","1","6","415","7","null","17","2","null","60","null","null","20","null","6","13","null"
"1979","null","13","2","11","29","91","2","null","28","5","25","34","36","26","116","null","9","22","null","147","null","null","43","null","8","3","1","1","22","10","null","20","4","432","null","null","6","null","46","5","16","0","32","10","null","59","null","2278","1","11","33","22","null","6","6","22","null","null","13","4","12","40","35","8","13","4","2","17","3","null","11","null","13","2","2","13","7","70","10","32","7","42","26","10","null","5","30","50","57","1","null","null","null","null","86","4","null","1","null","null","2","6","405","7","null","20","2","null","64","null","null","17","null","6","13","null"
"1980","null","12","3","9","29","87","2","null","27","5","25","48","30","28","106","null","11","17","null","141","null","null","42","null","8","3","1","1","20","10","null","24","9","416","null","null","6","null","53","4","16","0","29","10","null","57","null","2208","1","9","32","22","null","5","5","21","null","null","12","5","11","34","39","11","13","5","3","18","3","null","12","null","17","2","2","15","6","97","14","31","7","43","27","13","null","7","32","46","54","1","null","null","null","null","81","3","null","1","null","null","2","6","392","6","null","20","2","null","62","null","null","26","null","7","16","null"
"1981","null","13","3","7","30","85","1","null","27","5","26","59","30","28","97","null","12","18","null","154","null","null","44","null","10","3","1","1","21","11","null","23","7","394","null","null","6","null","52","4","16","0","29","9","null","57","null","2122","1","8","39","22","null","6","6","20","null","null","12","5","12","34","41","10","13","5","3","18","2","null","13","null","16","3","2","14","7","126","17","33","6","41","28","11","null","8","34","49","55","1","null","null","null","null","82","4","null","1","null","null","2","6","387","6","null","21","2","null","60","null","null","22","null","7","16","null"
"1982","null","10","4","7","31","81","1","null","28","4","26","64","32","32","83","null","13","17","null","150","null","null","49","null","9","3","1","1","23","11","null","20","5","402","null","null","6","null","64","4","16","1","30","9","null","55","null","2099","1","7","38","20","null","5","6","23","null","null","7","4","9","32","43","9","15","5","2","17","2","null","14","null","16","3","2","13","7","136","21","38","6","46","33","9","null","5","28","50","53","1","null","null","null","null","77","4","null","0","null","null","2","5","361","5","null","22","2","null","61","null","null","25","null","7","17","null"
"1983","null","11","4","9","29","81","1","null","26","5","28","83","31","24","86","null","9","16","null","146","null","null","53","null","10","4","1","1","26","9","null","20","7","408","null","null","6","null","59","4","16","0","30","9","null","54","null","1999","0","8","35","21","null","4","6","25","12","null","10","6","12","35","13","11","15","4","2","19","3","null","15","null","16","3","1","11","7","164","20","34","8","49","31","12","null","8","27","53","49","1","null","null","null","null","79","4","null","0","null","null","2","5","344","6","null","23","2","null","62","null","null","24","null","6","17","null"
