desc1,desc2,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoholic drinks,Alcopops,1974,,15,10,0,1,7,2,26,25,116,27,89,189,10,62,42,35,37,3,,158,129,29,6,77,8,29,19,21,81,65,17,30,11,147,154,154,,4,59,29,29,,115,,,43,,10,3,2,5,5,1,12,13,,515,95,41,207,22,16,9,16,84,5,20,364,129,55,87,36,36,,13,38,7,1318,610,284,423,,3,3,,5,16,13,3,,27,5,15,1,36,13,,58,,2687,17,15,2655,27,133,2496,36,6,20,9,1,9,78,37,42,27,,10,21,16,5,27,,,,,113,4,61,37,11,97,67,20,5,2,2,13,48,41,7,16,2,1,15,6,16,404,87,40,24,87,22,13,106,24,4,5,12,3,3,291,5,2,3,147,37,4,33,53,33,33,,1,1,,0,,15,12,11,1,,12,31,31,,,6,,6,52,6,44,2,0,0,0,91,43,32,5,11,8,216,67,72,32,2,9,8,1,34,119,81,33,48,3,8,20,6,372,31,88,113,100,12,43,10,1,4,3,1,42,15,10,8,2,14,10,27,5,22,23,17,9,1,7,2,2,,6,37,48,59,2,1,1,,,,,101,4,,0,,,9,7,1,6,458,8,,20,2,0,2,16,2,1,2,0,11,,68,,77,52,5,6,2,8,3,1,,22,4,18,860,251,609,,,5,44,35,8,,,,,2978,105,393,630,123,316,535,3308,2578,1437,1872,1141,731,1019,162,184,214,264,107,291,,,
Non-carcase meat and meat products,All offal other than liver,1975,,16,9,0,1,7,1,16,26,111,26,86,215,25,68,45,37,37,3,,164,135,29,4,82,8,31,21,22,101,80,21,36,14,147,137,137,,5,56,28,28,,124,,,36,,9,3,1,5,4,1,18,11,,511,100,43,198,21,10,9,17,85,6,22,341,136,46,71,40,40,,11,30,7,1257,596,239,421,,2,2,,5,20,16,4,,32,4,15,0,37,11,,62,,2715,10,19,2686,27,134,2525,40,8,20,10,1,8,78,34,45,26,,10,24,18,6,27,,,,,119,4,66,39,11,99,67,22,6,2,2,13,44,53,14,10,1,1,26,6,16,405,80,39,20,85,24,14,112,30,5,7,14,4,2,272,6,2,3,131,32,3,29,57,29,29,,1,1,,0,,16,16,14,2,,12,15,15,,,6,,6,57,7,48,2,4,2,2,79,39,27,5,8,8,228,65,73,34,4,10,8,1,42,122,85,37,47,3,8,19,8,385,31,85,119,106,13,41,10,1,3,2,1,48,16,10,8,2,20,9,28,5,23,23,17,9,1,7,2,2,,8,25,45,54,2,1,1,,,,,88,4,,0,,,9,7,1,5,394,7,,18,2,0,2,16,2,1,1,0,11,,66,,81,55,5,6,2,8,3,1,,19,4,15,847,252,595,,,6,48,37,11,,,,,2987,107,413,642,128,315,470,3246,2508,1378,1868,1130,738,1029,156,173,211,265,103,267,,,
Fats,All other fats,1976,,15,9,3,4,0,2,16,26,112,26,86,196,15,61,51,26,41,2,,166,135,31,5,87,9,33,22,24,110,90,20,35,17,135,125,125,,6,55,27,27,,131,,,37,,10,3,1,5,5,1,20,10,,536,96,45,217,23,20,8,15,86,6,19,338,141,42,68,38,38,,9,31,8,1003,398,284,320,,2,2,,6,23,18,5,,37,5,15,0,35,12,,59,,2679,11,13,2655,27,133,2496,41,10,20,9,1,8,91,47,44,23,,9,23,17,6,27,,,,,119,2,69,35,12,99,70,20,5,2,2,12,45,55,14,10,1,1,29,8,14,424,94,38,24,82,27,14,114,31,5,7,15,4,3,282,5,2,3,137,30,3,27,60,35,35,,1,1,,0,,15,16,15,2,,14,15,15,,,6,,6,56,7,47,2,4,2,2,81,38,28,4,11,8,226,60,72,35,4,12,10,2,42,104,65,30,35,5,9,18,7,397,35,87,125,111,14,40,10,1,3,2,1,48,14,10,8,2,23,8,30,6,24,25,20,11,1,9,2,2,,5,26,45,57,2,2,1,,,,,92,4,,0,,,9,7,1,6,427,8,,18,2,0,2,15,2,1,1,0,11,,67,,95,30,9,36,4,10,4,2,,18,4,14,809,246,564,,,6,48,34,14,,,,,2961,107,396,656,131,312,497,3027,2266,1107,1920,1159,761,1015,178,159,213,276,105,280,,,
Fats,All other fats,1977,,15,9,3,4,0,2,10,27,120,28,93,209,26,65,53,24,40,2,,168,137,31,5,89,9,34,22,24,114,91,23,33,24,123,124,124,,7,49,24,24,,134,,,35,,10,2,2,5,5,1,23,10,,512,91,50,189,23,18,6,20,88,4,22,358,137,47,71,38,38,,17,41,8,1167,408,298,461,,2,2,,4,25,20,5,,41,4,11,0,35,10,,59,,2579,13,13,2553,26,128,2400,44,7,23,12,1,10,104,58,46,25,,11,24,18,6,19,,,,,112,2,68,32,11,101,72,17,6,3,3,13,37,59,15,11,3,1,30,7,12,432,96,37,26,91,26,14,110,31,5,7,15,4,2,276,6,2,4,126,22,2,19,69,37,37,,1,1,,0,,16,17,15,2,,12,16,16,,,8,,8,55,7,46,2,4,2,2,94,49,29,5,11,7,213,56,63,33,4,12,11,2,45,88,56,27,28,3,5,17,7,399,38,78,124,110,14,37,9,1,4,3,1,55,17,9,8,2,26,7,47,8,39,25,21,11,1,9,2,2,,4,29,48,59,2,1,1,,,,,81,3,,2,,,9,7,1,6,423,8,,14,2,0,1,17,4,2,1,0,10,,62,,99,32,8,42,5,7,3,1,,19,4,15,788,267,521,,,5,45,33,11,,,,,2855,108,416,695,118,314,495,3170,2445,1256,1914,1189,725,1000,191,157,213,276,97,271,,,
Fats,All other fats,1978,,13,10,3,4,0,2,9,29,119,29,90,211,16,66,56,30,42,1,,156,128,28,4,93,9,35,23,25,117,96,21,35,25,119,118,118,,8,43,22,22,,138,,,40,,8,2,1,5,4,1,25,11,,531,87,53,204,19,22,7,22,87,5,23,395,145,63,82,40,40,,13,44,8,1257,518,320,419,,2,2,,6,29,23,6,,48,5,14,0,32,10,,60,,2523,11,13,2499,25,125,2349,42,7,22,12,1,8,106,71,35,21,,6,24,18,6,21,,,,,110,2,68,30,10,99,70,17,5,3,4,12,37,63,15,11,3,1,33,9,13,463,113,41,27,98,26,15,107,34,6,8,17,4,2,287,9,4,6,104,32,3,29,76,45,45,,2,2,,1,,18,14,13,1,,10,16,16,,,12,,12,58,7,49,2,4,2,2,95,44,34,6,12,7,218,57,56,33,4,11,10,1,57,114,77,37,40,3,5,21,9,389,38,76,122,109,13,33,13,1,3,2,1,54,16,11,9,2,22,7,51,9,42,24,19,10,1,8,2,2,,5,27,54,55,2,2,1,,,,,80,4,,1,,,9,8,1,6,415,7,,17,2,0,2,20,4,2,2,1,12,,60,,97,66,6,8,3,10,4,1,,24,5,20,767,248,519,,,6,46,33,13,,,,,2809,105,416,705,122,319,481,3367,2618,1371,1996,1247,749,982,177,153,207,279,93,282,,,
Fats,All other fats,1979,,13,11,3,5,0,2,11,29,120,30,91,212,19,60,54,27,49,2,,157,129,28,5,91,9,35,23,25,149,115,34,36,26,116,126,126,,9,44,22,22,,147,,,43,,8,3,1,7,6,1,22,10,,574,90,54,231,28,28,11,20,85,6,20,322,122,51,56,39,39,,12,39,4,1249,524,293,432,,2,2,,6,28,22,6,,46,5,16,0,32,10,,59,,2450,12,13,2424,24,121,2278,38,7,19,11,1,11,109,76,33,22,,6,23,18,6,22,,,,,121,2,70,36,13,102,72,17,6,3,4,12,40,67,16,11,3,1,35,8,13,456,108,39,24,97,27,15,114,32,5,7,16,4,2,315,11,4,7,115,41,4,36,77,51,51,,3,2,,1,,17,20,17,3,,11,17,17,,,13,,13,61,7,51,2,4,2,2,104,46,39,6,13,7,222,56,50,31,3,13,12,2,70,123,84,40,45,3,5,22,10,425,41,83,128,114,14,40,10,1,4,3,1,57,19,13,10,3,32,7,52,10,42,26,23,12,1,10,3,3,,5,30,50,57,2,2,1,,,,,86,4,,1,,,10,9,2,6,405,7,,20,2,0,2,23,4,2,2,1,14,,64,,103,70,6,8,3,10,4,1,,22,4,17,706,228,478,,,6,45,32,13,,,,,2765,109,436,724,129,317,471,3372,2575,1372,1999,1203,796,958,171,162,210,287,102,293,,,
Fats,All other fats,1980,,12,14,4,6,1,3,9,29,116,30,87,208,19,64,51,26,47,2,,152,125,27,5,94,9,36,24,25,171,123,48,30,28,106,123,123,,11,35,17,17,,141,,,42,,8,3,1,6,5,1,20,10,,608,94,59,230,30,29,13,32,91,7,24,366,131,56,76,41,41,,10,44,9,1176,468,292,416,,3,3,,6,32,25,7,,53,4,16,0,29,10,,57,,2371,13,9,2349,23,117,2208,39,6,18,14,1,9,115,83,32,22,,5,21,16,5,21,,,,,128,2,77,36,12,103,70,18,6,4,5,11,34,71,16,12,3,1,39,11,13,466,108,43,24,96,29,16,111,39,6,9,19,5,3,316,16,6,9,109,32,3,29,74,63,63,,4,3,,1,,18,23,20,3,,12,18,18,,,17,,17,61,7,51,2,4,2,2,118,57,39,6,15,6,250,56,48,30,4,15,13,2,97,137,92,49,43,3,4,24,14,417,46,69,125,111,14,39,10,0,4,3,1,61,18,12,9,3,31,7,53,10,43,27,31,16,2,13,4,4,,7,32,46,54,3,2,1,,,,,81,3,,1,,,10,9,2,6,392,6,,20,2,0,2,25,4,2,2,1,15,,62,,111,75,7,9,3,11,4,1,,32,6,26,668,208,460,,,7,48,32,16,,,,,2687,110,453,707,137,324,455,3419,2562,1313,2107,1249,857,949,169,153,205,297,99,298,,,
Other food and drink,Baby foods,1981,,13,17,5,8,1,3,7,30,115,30,85,179,5,55,48,24,45,1,,148,122,27,5,95,10,36,24,26,170,111,59,30,28,97,124,124,,12,37,18,18,,154,,,44,,10,3,1,7,6,1,21,11,,585,90,56,214,34,26,16,25,92,9,23,353,128,51,82,38,38,,13,35,7,1200,544,263,394,,2,2,,6,32,25,7,,52,4,16,0,29,9,,57,,2287,21,8,2258,23,113,2122,38,6,19,13,1,8,123,84,39,22,,6,25,19,6,20,,,,,120,2,73,32,12,103,74,15,6,4,5,12,34,73,16,12,3,1,41,10,13,462,105,35,21,100,30,18,115,37,6,8,18,5,3,325,29,11,17,94,32,3,29,81,63,63,,7,5,,2,,18,25,23,2,,13,17,17,,,16,,16,67,8,57,3,4,2,2,109,47,41,7,14,7,268,53,45,28,3,13,12,2,126,157,107,59,48,2,4,27,17,429,50,73,129,115,14,39,13,0,4,3,1,58,19,12,9,2,33,6,52,11,41,28,26,14,1,11,3,3,,8,34,49,55,2,2,1,,,,,82,4,,1,,,11,9,2,6,387,6,,21,2,0,2,31,4,3,3,1,20,,60,,115,78,7,9,3,12,5,1,,27,5,22,667,205,462,,,7,50,33,16,,,,,2612,110,408,734,141,320,451,3455,2602,1358,2097,1244,853,953,177,154,204,296,99,305,,,
Non-carcase meat and meat products,"Bacon and ham, cooked",1982,,10,20,6,9,1,4,7,31,109,28,81,181,11,59,43,22,46,1,,155,127,28,4,95,9,36,24,26,165,102,64,32,32,83,121,121,,13,35,17,17,,150,,,49,,9,3,1,8,7,1,23,11,,546,80,50,204,27,32,13,28,87,6,20,328,114,43,74,42,42,,13,36,5,1172,474,296,402,,2,2,,6,39,31,8,,64,4,16,1,30,9,,55,,2258,19,6,2232,22,112,2099,37,6,18,12,1,7,130,92,38,20,,5,23,18,6,23,,,,,100,1,60,31,7,100,71,16,6,4,4,9,32,75,16,12,3,1,43,9,15,457,106,39,24,91,30,16,116,36,6,8,17,5,2,320,38,15,23,82,29,3,26,84,62,62,,9,7,,2,,17,18,16,2,,14,18,18,,,16,,16,66,8,56,3,4,2,2,115,55,41,6,13,7,278,54,45,27,3,14,12,2,136,167,108,65,44,2,4,31,21,428,45,78,130,116,14,36,10,0,3,2,1,59,16,12,10,3,38,6,58,13,46,33,22,12,1,9,3,3,,5,28,50,53,3,2,1,,,,,77,4,,0,,,12,11,2,5,361,5,,22,2,0,2,32,5,3,3,1,21,,61,,118,80,7,9,4,12,5,1,,31,6,25,663,186,476,,,7,48,30,17,,,,,2578,108,396,728,144,319,422,3377,2552,1339,2038,1213,825,946,156,153,214,291,97,312,,,
Non-carcase meat and meat products,"Bacon and ham, uncooked",1983,,11,19,6,9,1,4,9,29,111,30,81,169,8,52,44,20,45,1,,146,119,26,5,103,10,39,26,28,180,97,83,31,24,86,116,116,,9,31,16,16,,146,,,53,,10,4,1,8,7,1,26,9,,571,82,58,209,31,37,15,26,85,9,20,316,116,45,72,41,41,,9,26,7,1146,503,236,408,,3,3,,6,36,29,8,,59,4,16,0,30,9,,54,,2172,33,12,2127,21,106,1999,30,5,17,8,0,8,123,88,35,21,,4,24,18,6,25,12,,,,109,2,66,31,10,107,72,18,6,4,6,12,35,34,11,5,4,1,13,11,15,460,104,42,21,101,28,19,111,35,6,8,17,4,2,350,72,29,43,72,30,3,27,82,69,69,,8,6,,2,,19,25,22,3,,15,38,38,,,16,,16,72,9,61,3,14,13,1,101,42,41,7,11,7,304,49,41,33,2,15,13,2,164,163,101,62,40,3,5,34,20,431,47,71,139,124,15,38,12,0,5,4,2,53,16,16,13,3,34,8,63,14,49,31,28,15,1,12,2,2,,8,27,53,49,3,2,1,,,,,79,4,,0,,,13,11,2,5,344,6,,23,2,0,2,35,5,3,3,1,23,,62,,121,82,7,10,4,12,5,1,,30,6,24,636,167,469,,,6,48,31,17,,,,,2522,113,378,730,147,311,407,3392,2517,1309,2083,1208,875,938,147,146,208,292,100,327,,,
